{'epoch': 38, 'num_users': 5.94, 'loss': 0.021, 'hit_ratio@10': 0.8557, 'ndcg@10': 0.8848}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.44s/it]
{'epoch': 39, 'num_users': 5.94, 'loss': 0.0223, 'hit_ratio@10': 0.8528, 'ndcg@10': 0.8877}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.39s/it]
{'epoch': 40, 'num_users': 5.94, 'loss': 0.0214, 'hit_ratio@10': 0.8517, 'ndcg@10': 0.8838}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.39s/it]
{'epoch': 41, 'num_users': 5.94, 'loss': 0.0203, 'hit_ratio@10': 0.8482, 'ndcg@10': 0.8873}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.45s/it]
{'epoch': 42, 'num_users': 5.94, 'loss': 0.0196, 'hit_ratio@10': 0.8545, 'ndcg@10': 0.8891}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:12<00:00,  1.44s/it]
{'epoch': 43, 'num_users': 5.94, 'loss': 0.019, 'hit_ratio@10': 0.8593, 'ndcg@10': 0.887}: 100%|██████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.39s/it]
{'epoch': 44, 'num_users': 5.94, 'loss': 0.0195, 'hit_ratio@10': 0.8577, 'ndcg@10': 0.8887}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.38s/it]
{'epoch': 45, 'num_users': 5.94, 'loss': 0.0197, 'hit_ratio@10': 0.8614, 'ndcg@10': 0.8921}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.38s/it]
{'epoch': 46, 'num_users': 5.94, 'loss': 0.0189, 'hit_ratio@10': 0.8606, 'ndcg@10': 0.8989}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.38s/it]
{'epoch': 47, 'num_users': 5.94, 'loss': 0.0183, 'hit_ratio@10': 0.86, 'ndcg@10': 0.8999}: 100%|██████████████████████████████████████████████████████████████████████████████████| 50/50 [01:09<00:00,  1.39s/it]
{'epoch': 48, 'num_users': 5.94, 'loss': 0.0184, 'hit_ratio@10': 0.8623, 'ndcg@10': 0.9018}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:08<00:00,  1.36s/it]
{'epoch': 49, 'num_users': 5.94, 'loss': 0.0178, 'hit_ratio@10': 0.8609, 'ndcg@10': 0.8949}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:08<00:00,  1.38s/it]
